container      , method, 33, 61, 109, 197, 355, 640, 1151, 2072, 3728, 6708, 12070, 21718, 39077, 70313, 126515, 227642, 409600, 
std_hash_64    , find, 29.5879, 22.2426, 20.9303, 24.5046, 24.0721, 25.8575, 23.7746, 27.5654, 26.1261, 27.4154, 34.0914, 37.2372, 38.5977, 60.1116, 85.0716, 102.573, 131.336, 
std_hash_64    , erase, 156.879, 120.82, 116.754, 118.268, 117.582, 118.418, 118.196, 117.063, 122.212, 136.639, 142.401, 170.746, 177.195, 207.028, 275.966, 304.165, 340.667, 
trb_set_128    , insert_o, 270.285, 117.298, 120.82, 144.958, 136.985, 137.92, 152.658, 165.026, 162.576, 173.18, 179.658, 193.878, 231.146, 286.028, 272.308, 315.421, 344.964, 
trb_set_128    , insert_r, 281.539, 100.328, 103.587, 102.334, 115.134, 130.396, 144.881, 168.037, 171.253, 194.451, 221.178, 236.825, 346.281, 429.73, 482.558, 601.343, 696.271, 
trb_set_128    , foreach, 12.7758, 7.65902, 7.60367, 7.94416, 8.74479, 9.61188, 13.428, 18.9431, 15.8641, 22.733, 17.4326, 21.9746, 33.1368, 47.999, 89.2773, 92.9506, 97.6763, 
trb_set_128    , find, 44.6242, 45.4557, 49.5138, 56.5036, 62.0293, 67.895, 83.5592, 93.4208, 94.4968, 120.525, 132.146, 156.607, 180.687, 256.458, 330.266, 439.34, 556.697, 
trb_set_128    , erase, 121.327, 90.9115, 96.6055, 101.969, 109.909, 119.853, 126.298, 132.067, 143.264, 159.109, 182.332, 206.34, 244.751, 327.962, 414.772, 536.709, 662.665, 
std_set_128    , insert_o, 109.212, 85.4951, 78.4257, 78.2, 88.6879, 81.9784, 85.4745, 83.1431, 94.1323, 112.217, 115.194, 125.724, 161.726, 161.475, 180.575, 213.405, 220.359, 
std_set_128    , insert_r, 137.358, 100.295, 113.411, 115.686, 112.881, 111.436, 113.312, 116.133, 130.966, 167.297, 168.604, 202.185, 223.1, 273.421, 355.633, 473.685, 602.414, 
std_set_128    , foreach, 14.4303, 9.86557, 8.12385, 8.64975, 7.23155, 8.18625, 9.25717, 10.9692, 15.634, 21.2407, 23.18, 25.9658, 30.1846, 62.9175, 80.2976, 90.0958, 93.9763, 
